TransactionID,TransactionDate,AccountID,BookID,Amount,Currency,TransactionType,FiscalYear,FiscalQuarter,FiscalMonth,CostCenterID,Description
TXN-0001,2024-01-05,1001,BK-001,12500.00,USD,Credit,FY2024,Q1,1,CC-100,Book Sales - The Literary Mind Jan W1
TXN-0002,2024-01-05,1010,BK-001,-3750.00,USD,Debit,FY2024,Q1,1,CC-200,Printing Costs - The Literary Mind
TXN-0003,2024-01-08,1002,BK-001,4800.00,USD,Credit,FY2024,Q1,1,CC-100,E-Book Sales - The Literary Mind Jan W1
TXN-0004,2024-01-10,1021,BK-001,-1730.00,USD,Debit,FY2024,Q1,1,CC-300,Author Royalties 10% - The Literary Mind
TXN-0005,2024-01-12,1001,BK-002,18900.00,USD,Credit,FY2024,Q1,1,CC-100,Book Sales - Quantum Horizons Jan W2
TXN-0006,2024-01-12,1010,BK-002,-5670.00,USD,Debit,FY2024,Q1,1,CC-200,Printing Costs - Quantum Horizons
TXN-0007,2024-01-15,1002,BK-002,7200.00,USD,Credit,FY2024,Q1,1,CC-100,E-Book Sales - Quantum Horizons Jan W2
TXN-0008,2024-01-15,1003,BK-002,3200.00,USD,Credit,FY2024,Q1,1,CC-100,Audiobook Sales - Quantum Horizons Jan W2
TXN-0009,2024-01-18,1021,BK-002,-2930.00,USD,Debit,FY2024,Q1,1,CC-300,Author Royalties 10% - Quantum Horizons
TXN-0010,2024-01-20,1001,BK-003,6500.00,USD,Credit,FY2024,Q1,1,CC-100,Book Sales - Garden of Whispers Jan W3
TXN-0011,2024-01-20,1010,BK-003,-1950.00,USD,Debit,FY2024,Q1,1,CC-200,Printing Costs - Garden of Whispers
TXN-0012,2024-01-22,1002,BK-003,3200.00,USD,Credit,FY2024,Q1,1,CC-100,E-Book Sales - Garden of Whispers Jan
TXN-0013,2024-01-25,1021,BK-003,-970.00,USD,Debit,FY2024,Q1,1,CC-300,Author Royalties - Garden of Whispers
TXN-0014,2024-01-28,1001,BK-004,16500.00,USD,Credit,FY2024,Q1,1,CC-100,Book Sales - Code Breakers Jan W4
TXN-0015,2024-01-28,1010,BK-004,-4950.00,USD,Debit,FY2024,Q1,1,CC-200,Printing Costs - Code Breakers
TXN-0016,2024-01-30,1002,BK-004,5500.00,USD,Credit,FY2024,Q1,1,CC-100,E-Book Sales - Code Breakers Jan
TXN-0017,2024-01-30,1021,BK-004,-2640.00,USD,Debit,FY2024,Q1,1,CC-300,Author Royalties 12% - Code Breakers
TXN-0018,2024-01-31,1011,-,-28500.00,USD,Debit,FY2024,Q1,1,CC-300,Editorial Salaries January
TXN-0019,2024-01-31,1012,-,-42000.00,USD,Debit,FY2024,Q1,1,CC-400,Marketing Spend January
TXN-0020,2024-01-31,1013,-,-18000.00,USD,Debit,FY2024,Q1,1,CC-500,Warehouse OpEx January
TXN-0021,2024-01-31,1014,-,-15500.00,USD,Debit,FY2024,Q1,1,CC-600,HR & Admin January
TXN-0022,2024-01-31,1015,-,-12000.00,USD,Debit,FY2024,Q1,1,CC-700,IT Infrastructure January
TXN-0023,2024-01-05,1001,BK-026,6000.00,USD,Credit,FY2024,Q1,1,CC-100,Book Sales - Monsoon Memories Jan
TXN-0024,2024-01-10,1010,BK-026,-1800.00,USD,Debit,FY2024,Q1,1,CC-200,Printing Costs - Monsoon Memories
TXN-0025,2024-02-05,1001,BK-005,7500.00,USD,Credit,FY2024,Q1,2,CC-100,Book Sales - The Midnight Garden Feb W1
TXN-0026,2024-02-05,1010,BK-005,-2250.00,USD,Debit,FY2024,Q1,2,CC-200,Printing Costs - The Midnight Garden
TXN-0027,2024-02-08,1002,BK-005,2800.00,USD,Credit,FY2024,Q1,2,CC-100,E-Book Sales - The Midnight Garden Feb
TXN-0028,2024-02-10,1021,BK-005,-1030.00,USD,Debit,FY2024,Q1,2,CC-300,Author Royalties - The Midnight Garden
TXN-0029,2024-02-12,1001,BK-006,35000.00,USD,Credit,FY2024,Q1,2,CC-100,Book Sales - Empire of Stars Feb W2
TXN-0030,2024-02-12,1010,BK-006,-10500.00,USD,Debit,FY2024,Q1,2,CC-200,Printing Costs - Empire of Stars
TXN-0031,2024-02-15,1002,BK-006,9000.00,USD,Credit,FY2024,Q1,2,CC-100,E-Book Sales - Empire of Stars Feb
TXN-0032,2024-02-15,1003,BK-006,4500.00,USD,Credit,FY2024,Q1,2,CC-100,Audiobook Sales - Empire of Stars Feb
TXN-0033,2024-02-18,1021,BK-006,-7275.00,USD,Debit,FY2024,Q1,2,CC-300,Author Royalties 15% - Empire of Stars
TXN-0034,2024-02-20,1001,BK-027,8200.00,USD,Credit,FY2024,Q1,2,CC-100,Book Sales - The Berlin Wall Feb
TXN-0035,2024-02-20,1010,BK-027,-2460.00,USD,Debit,FY2024,Q1,2,CC-200,Printing Costs - The Berlin Wall
TXN-0036,2024-02-22,1004,BK-027,2800.00,USD,Credit,FY2024,Q1,2,CC-100,International Sales - The Berlin Wall EUR
TXN-0037,2024-02-25,1001,BK-028,4200.00,USD,Credit,FY2024,Q1,2,CC-100,Book Sales - Flames of Seville Feb
TXN-0038,2024-02-25,1010,BK-028,-1260.00,USD,Debit,FY2024,Q1,2,CC-200,Printing Costs - Flames of Seville
TXN-0039,2024-02-28,1011,-,-28500.00,USD,Debit,FY2024,Q1,2,CC-300,Editorial Salaries February
TXN-0040,2024-02-28,1012,-,-48000.00,USD,Debit,FY2024,Q1,2,CC-400,Marketing Spend February
TXN-0041,2024-02-28,1013,-,-18000.00,USD,Debit,FY2024,Q1,2,CC-500,Warehouse OpEx February
TXN-0042,2024-02-28,1014,-,-15500.00,USD,Debit,FY2024,Q1,2,CC-600,HR & Admin February
TXN-0043,2024-02-28,1015,-,-12000.00,USD,Debit,FY2024,Q1,2,CC-700,IT Infrastructure February
TXN-0044,2024-03-05,1001,BK-007,8800.00,USD,Credit,FY2024,Q1,3,CC-100,Book Sales - Art of Slow Living Mar W1
TXN-0045,2024-03-05,1010,BK-007,-2640.00,USD,Debit,FY2024,Q1,3,CC-200,Printing Costs - Art of Slow Living
TXN-0046,2024-03-08,1002,BK-007,3500.00,USD,Credit,FY2024,Q1,3,CC-100,E-Book Sales - Art of Slow Living Mar
TXN-0047,2024-03-10,1001,BK-008,12800.00,USD,Credit,FY2024,Q1,3,CC-100,Book Sales - Digital Nomad Mar W2
TXN-0048,2024-03-10,1010,BK-008,-3840.00,USD,Debit,FY2024,Q1,3,CC-200,Printing Costs - Digital Nomad
TXN-0049,2024-03-12,1002,BK-008,4500.00,USD,Credit,FY2024,Q1,3,CC-100,E-Book Sales - Digital Nomad Mar
TXN-0050,2024-03-15,1021,BK-008,-1730.00,USD,Debit,FY2024,Q1,3,CC-300,Author Royalties 10% - Digital Nomad
TXN-0051,2024-03-18,1001,BK-029,6500.00,USD,Credit,FY2024,Q1,3,CC-100,Book Sales - The Ogun Chronicles Mar
TXN-0052,2024-03-18,1010,BK-029,-1950.00,USD,Debit,FY2024,Q1,3,CC-200,Printing Costs - The Ogun Chronicles
TXN-0053,2024-03-20,1004,BK-029,3200.00,USD,Credit,FY2024,Q1,3,CC-100,International Sales - Ogun Chronicles GBP
TXN-0054,2024-03-22,1001,BK-036,8500.00,USD,Credit,FY2024,Q1,3,CC-100,Book Sales - Literary Mind Vol 2 Mar
TXN-0055,2024-03-22,1010,BK-036,-2550.00,USD,Debit,FY2024,Q1,3,CC-200,Printing Costs - Literary Mind Vol 2
TXN-0056,2024-03-25,1004,BK-036,1800.00,USD,Credit,FY2024,Q1,3,CC-100,International Sales - Literary Mind Vol 2
TXN-0057,2024-03-31,1011,-,-29500.00,USD,Debit,FY2024,Q1,3,CC-300,Editorial Salaries March
TXN-0058,2024-03-31,1012,-,-52000.00,USD,Debit,FY2024,Q1,3,CC-400,Marketing Spend March (spring campaign)
TXN-0059,2024-03-31,1013,-,-19000.00,USD,Debit,FY2024,Q1,3,CC-500,Warehouse OpEx March
TXN-0060,2024-03-31,1014,-,-15500.00,USD,Debit,FY2024,Q1,3,CC-600,HR & Admin March
TXN-0061,2024-03-31,1015,-,-13000.00,USD,Debit,FY2024,Q1,3,CC-700,IT Infrastructure March
TXN-0062,2024-04-05,1001,BK-009,10200.00,USD,Credit,FY2024,Q2,4,CC-100,Book Sales - Ocean Deep Apr W1
TXN-0063,2024-04-05,1010,BK-009,-3060.00,USD,Debit,FY2024,Q2,4,CC-200,Printing Costs - Ocean Deep
TXN-0064,2024-04-08,1002,BK-009,3500.00,USD,Credit,FY2024,Q2,4,CC-100,E-Book Sales - Ocean Deep Apr
TXN-0065,2024-04-10,1021,BK-009,-1370.00,USD,Debit,FY2024,Q2,4,CC-300,Author Royalties 10% - Ocean Deep
TXN-0066,2024-04-15,1001,BK-010,42000.00,USD,Credit,FY2024,Q2,4,CC-100,Book Sales - The Last Algorithm Apr W2
TXN-0067,2024-04-15,1010,BK-010,-12600.00,USD,Debit,FY2024,Q2,4,CC-200,Printing Costs - The Last Algorithm
TXN-0068,2024-04-18,1002,BK-010,12000.00,USD,Credit,FY2024,Q2,4,CC-100,E-Book Sales - The Last Algorithm Apr
TXN-0069,2024-04-18,1003,BK-010,5800.00,USD,Credit,FY2024,Q2,4,CC-100,Audiobook Sales - The Last Algorithm Apr
TXN-0070,2024-04-20,1021,BK-010,-7176.00,USD,Debit,FY2024,Q2,4,CC-300,Author Royalties 12% - The Last Algorithm
TXN-0071,2024-04-22,1001,BK-030,11500.00,USD,Credit,FY2024,Q2,4,CC-100,Book Sales - Silk Road Algorithm Apr
TXN-0072,2024-04-22,1010,BK-030,-3450.00,USD,Debit,FY2024,Q2,4,CC-200,Printing Costs - Silk Road Algorithm
TXN-0073,2024-04-25,1004,BK-030,1700.00,USD,Credit,FY2024,Q2,4,CC-100,International Sales - Silk Road Algorithm JPY
TXN-0074,2024-04-30,1011,-,-29500.00,USD,Debit,FY2024,Q2,4,CC-300,Editorial Salaries April
TXN-0075,2024-04-30,1012,-,-45000.00,USD,Debit,FY2024,Q2,4,CC-400,Marketing Spend April
TXN-0076,2024-04-30,1013,-,-19500.00,USD,Debit,FY2024,Q2,4,CC-500,Warehouse OpEx April
TXN-0077,2024-04-30,1014,-,-16000.00,USD,Debit,FY2024,Q2,4,CC-600,HR & Admin April
TXN-0078,2024-04-30,1015,-,-13000.00,USD,Debit,FY2024,Q2,4,CC-700,IT Infrastructure April
TXN-0079,2024-05-05,1001,BK-011,5500.00,USD,Credit,FY2024,Q2,5,CC-100,Book Sales - Whispers in the Wind May W1
TXN-0080,2024-05-05,1010,BK-011,-1650.00,USD,Debit,FY2024,Q2,5,CC-200,Printing Costs - Whispers in the Wind
TXN-0081,2024-05-08,1002,BK-011,3200.00,USD,Credit,FY2024,Q2,5,CC-100,E-Book Sales - Whispers in the Wind May
TXN-0082,2024-05-10,1001,BK-012,18500.00,USD,Credit,FY2024,Q2,5,CC-100,Book Sales - Children of Tomorrow May W2
TXN-0083,2024-05-10,1010,BK-012,-5550.00,USD,Debit,FY2024,Q2,5,CC-200,Printing Costs - Children of Tomorrow
TXN-0084,2024-05-12,1002,BK-012,8500.00,USD,Credit,FY2024,Q2,5,CC-100,E-Book Sales - Children of Tomorrow May
TXN-0085,2024-05-12,1003,BK-012,3800.00,USD,Credit,FY2024,Q2,5,CC-100,Audiobook Sales - Children of Tomorrow May
TXN-0086,2024-05-15,1021,BK-012,-3080.00,USD,Debit,FY2024,Q2,5,CC-300,Author Royalties 10% - Children of Tomorrow
TXN-0087,2024-05-18,1001,BK-031,7200.00,USD,Credit,FY2024,Q2,5,CC-100,Book Sales - Provence Kitchen May
TXN-0088,2024-05-18,1010,BK-031,-2160.00,USD,Debit,FY2024,Q2,5,CC-200,Printing Costs - Provence Kitchen
TXN-0089,2024-05-20,1004,BK-031,1700.00,USD,Credit,FY2024,Q2,5,CC-100,International Sales - Provence Kitchen EUR
TXN-0090,2024-05-31,1011,-,-29500.00,USD,Debit,FY2024,Q2,5,CC-300,Editorial Salaries May
TXN-0091,2024-05-31,1012,-,-44000.00,USD,Debit,FY2024,Q2,5,CC-400,Marketing Spend May
TXN-0092,2024-05-31,1013,-,-19500.00,USD,Debit,FY2024,Q2,5,CC-500,Warehouse OpEx May
TXN-0093,2024-05-31,1014,-,-16000.00,USD,Debit,FY2024,Q2,5,CC-600,HR & Admin May
TXN-0094,2024-05-31,1015,-,-13500.00,USD,Debit,FY2024,Q2,5,CC-700,IT Infrastructure May
TXN-0095,2024-06-05,1001,BK-013,52000.00,USD,Credit,FY2024,Q2,6,CC-100,Book Sales - The Phoenix Protocol Jun W1
TXN-0096,2024-06-05,1010,BK-013,-15600.00,USD,Debit,FY2024,Q2,6,CC-200,Printing Costs - The Phoenix Protocol
TXN-0097,2024-06-08,1002,BK-013,15000.00,USD,Credit,FY2024,Q2,6,CC-100,E-Book Sales - The Phoenix Protocol Jun
TXN-0098,2024-06-08,1003,BK-013,8500.00,USD,Credit,FY2024,Q2,6,CC-100,Audiobook Sales - The Phoenix Protocol Jun
TXN-0099,2024-06-10,1021,BK-013,-10570.00,USD,Debit,FY2024,Q2,6,CC-300,Author Royalties 14% - Phoenix Protocol
TXN-0100,2024-06-12,1004,BK-013,4200.00,USD,Credit,FY2024,Q2,6,CC-100,International Sales - Phoenix Protocol GBP
TXN-0101,2024-06-15,1001,BK-032,13500.00,USD,Credit,FY2024,Q2,6,CC-100,Book Sales - Oslo Conspiracy Jun
TXN-0102,2024-06-15,1010,BK-032,-4050.00,USD,Debit,FY2024,Q2,6,CC-200,Printing Costs - Oslo Conspiracy
TXN-0103,2024-06-18,1002,BK-032,5500.00,USD,Credit,FY2024,Q2,6,CC-100,E-Book Sales - Oslo Conspiracy Jun
TXN-0104,2024-06-20,1004,BK-032,1300.00,USD,Credit,FY2024,Q2,6,CC-100,International Sales - Oslo Conspiracy NOK
TXN-0105,2024-06-30,1011,-,-30000.00,USD,Debit,FY2024,Q2,6,CC-300,Editorial Salaries June
TXN-0106,2024-06-30,1012,-,-55000.00,USD,Debit,FY2024,Q2,6,CC-400,Marketing Spend June (summer push)
TXN-0107,2024-06-30,1013,-,-20000.00,USD,Debit,FY2024,Q2,6,CC-500,Warehouse OpEx June
TXN-0108,2024-06-30,1014,-,-16500.00,USD,Debit,FY2024,Q2,6,CC-600,HR & Admin June
TXN-0109,2024-06-30,1015,-,-14000.00,USD,Debit,FY2024,Q2,6,CC-700,IT Infrastructure June
TXN-0110,2024-07-05,1001,BK-014,9800.00,USD,Credit,FY2024,Q3,7,CC-100,Book Sales - Mindful Cooking Jul W1
TXN-0111,2024-07-05,1010,BK-014,-2940.00,USD,Debit,FY2024,Q3,7,CC-200,Printing Costs - Mindful Cooking
TXN-0112,2024-07-08,1002,BK-014,2800.00,USD,Credit,FY2024,Q3,7,CC-100,E-Book Sales - Mindful Cooking Jul
TXN-0113,2024-07-10,1001,BK-015,16200.00,USD,Credit,FY2024,Q3,7,CC-100,Book Sales - The Forgotten City Jul W2
